Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALBARETO,2221,1231,47,113,PARMA
BARDI,2201,1537,92,142,PARMA
BEDONIA,3376,2190,109,254,PARMA
BERCETO,2028,1422,65,106,PARMA
BORE,732,557,49,78,PARMA
BORGO VAL DI TARO,6143,3173,39,150,PARMA
BUSSETO,5472,3174,38,125,PARMA
CALESTANO,1597,1150,40,67,PARMA
COLLECCHIO,11141,8208,126,334,PARMA
COLORNO,6283,4421,91,232,PARMA
COMPIANO,999,743,34,68,PARMA
CORNIGLIO,1806,1312,50,82,PARMA
FELINO,6706,5055,92,211,PARMA
FIDENZA,20257,14695,250,683,PARMA
FONTANELLATO,5577,3360,40,160,PARMA
FONTEVIVO,4129,2665,12,82,PARMA
FORNOVO DI TARO,4538,3385,91,182,PARMA
LANGHIRANO,6986,5386,144,259,PARMA
LESIGNANO DE' BAGNI,3788,2863,62,126,PARMA
MEDESANO,8194,6142,185,407,PARMA
MEZZANI,2536,1631,30,84,PARMA
MONCHIO DELLE CORTI,962,655,30,52,PARMA
MONTECHIARUGOLO,8442,5926,88,210,PARMA
NEVIANO DEGLI ARDUINI,3053,1722,14,42,PARMA
NOCETO,9990,7518,195,474,PARMA
PALANZANO,1010,774,39,53,PARMA
PARMA,140468,86935,432,1955,PARMA
PELLEGRINO PARMENSE,1010,697,31,51,PARMA
POLESINE PARMENSE,1140,848,23,57,PARMA
ROCCABIANCA,2729,1745,41,88,PARMA
SALA BAGANZA,4189,2673,23,66,PARMA
SALSOMAGGIORE TERME,15294,8735,69,265,PARMA
SAN SECONDO PARMENSE,4302,2640,23,93,PARMA
SISSA TRECASALI,6113,4610,110,233,PARMA
SOLIGNANO,1473,878,10,35,PARMA
SORAGNA,4125,2381,30,94,PARMA
SORBOLO,7381,5350,87,219,PARMA
TERENZO,1142,780,32,57,PARMA
TIZZANO VAL PARMA,1684,1299,26,53,PARMA
TORNOLO,1065,713,33,57,PARMA
TORRILE,5550,4080,83,193,PARMA
TRAVERSETOLO,7009,4426,27,132,PARMA
VALMOZZOLA,643,366,30,49,PARMA
VARANO DE' MELEGARI,2120,1306,10,42,PARMA
VARSI,1281,881,48,83,PARMA
ZIBELLO,1578,1170,58,94,PARMA
